index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
175,6,adrian_pilot,3,TrialSpatialRotation,2,2,2638.716283,2645.203117,2647.611012,13.631023,2.407895,1,1,7
176,7,adrian_pilot,3,TrialSpatialRotation,2,1,2654.292798,2660.748945,2663.614054,15.576515,2.865109,0,0,7
177,8,adrian_pilot,3,TrialSpatialRotation,1,1,2670.629098,2677.09394,2680.044445,16.3363,2.950505,1,0,7
178,9,adrian_pilot,3,TrialSpatialRotation,2,1,2687.105491,2693.538653,2696.397795,16.476393,2.859142,0,0,7
179,10,adrian_pilot,3,TrialSpatialRotation,1,1,2703.286979,2709.734689,2711.451382,16.181488,1.716693,1,0,7
180,11,adrian_pilot,3,TrialSpatialRotation,1,1,2716.614893,2723.073456,2724.76499,13.327914,1.691534,1,0,7
181,12,adrian_pilot,3,TrialSpatialRotation,2,2,2979.187839,2985.615384,2987.801464,13.536336,2.18608,1,1,8
182,13,adrian_pilot,3,TrialSpatialRotation,0,0,2994.067368,3000.540656,3002.413414,14.879529,1.872758,1,0,8
183,14,adrian_pilot,3,TrialSpatialRotation,2,2,3008.03376,3014.506757,3016.076392,13.966392,1.569635,1,0,8
184,15,adrian_pilot,3,TrialSpatialRotation,1,1,3021.663549,3028.135565,3030.374804,13.629789,2.239239,1,0,8
185,16,adrian_pilot,3,TrialSpatialRotation,1,1,3036.296069,3042.798052,3045.471739,14.63252,2.673687,1,0,8
186,17,adrian_pilot,3,TrialSpatialRotation,2,-1,3052.256007,3058.741918,-1,15.959938,3,0,0,8
187,18,adrian_pilot,3,TrialSpatialRotation,2,2,3062.83502,3069.293225,3071.192643,10.579013,1.899418,1,0,8
188,19,adrian_pilot,3,TrialSpatialRotation,0,0,3076.719465,3083.186848,3084.298172,13.884445,1.111324,1,0,8
189,20,adrian_pilot,3,TrialSpatialRotation,2,2,3182.831196,3189.279349,3191.037559,15.35295,1.75821,1,1,9
190,21,adrian_pilot,3,TrialSpatialRotation,2,2,3196.540759,3203.001549,3205.42863,13.709563,2.427081,1,0,9
191,22,adrian_pilot,3,TrialSpatialRotation,1,2,3212.171751,3218.652476,3220.801836,15.630992,2.14936,0,0,9
192,0,adrian_pilot,3,TrialSpatialSpan,1,0,2326.746581,2333.145595,2335.191529,134.720028,2.045934,0,1,1
193,1,adrian_pilot,3,TrialSpatialSpan,2,2,2341.121421,2347.529572,2350.336283,14.37484,2.806711,1,0,1
194,2,adrian_pilot,3,TrialSpatialSpan,2,2,2356.811203,2363.228966,2365.12983,15.689782,1.900864,1,0,1
195,3,adrian_pilot,3,TrialSpatialSpan,2,2,2371.145106,2377.550759,2379.25161,14.333903,1.700851,1,0,1
196,4,adrian_pilot,3,TrialSpatialSpan,0,2,2559.01978,2565.443825,2567.604004,13.507749,2.160179,0,1,2
197,5,adrian_pilot,3,TrialSpatialSpan,1,1,2573.716202,2580.153475,2582.225694,14.696422,2.072219,1,0,2
198,6,adrian_pilot,3,TrialSpatialSpan,2,2,2587.910238,2594.307556,2595.721867,14.194036,1.414311,1,0,2
199,7,adrian_pilot,3,TrialSpatialSpan,1,1,2601.045162,2607.454134,2609.374263,13.134924,1.920129,1,0,2
200,8,adrian_pilot,3,TrialSpatialSpan,2,-1,2615.017359,2621.42276,-1,13.972197,3,0,0,2
201,9,adrian_pilot,3,TrialSpatialSpan,2,2,2625.08526,2631.454835,2633.211068,10.067901,1.756233,1,0,2
202,10,adrian_pilot,3,TrialSpatialSpan,0,0,2730.226091,2736.640829,2738.973517,13.611198,2.332688,1,1,3
203,11,adrian_pilot,3,TrialSpatialSpan,0,0,2745.014569,2751.418847,2754.096145,14.788478,2.677298,1,0,3
204,12,adrian_pilot,3,TrialSpatialSpan,1,1,2760.388352,2766.842203,2768.931359,15.373783,2.089156,1,0,3
205,13,adrian_pilot,3,TrialSpatialSpan,0,0,2775.188192,2781.581787,2784.345943,14.79984,2.764156,1,0,3
206,14,adrian_pilot,3,TrialSpatialSpan,0,0,2791.095713,2797.507646,2799.671171,15.907521,2.163525,1,0,3
207,15,adrian_pilot,3,TrialSpatialSpan,0,0,2805.703202,2812.071102,2813.049821,14.607489,0.978719,1,0,3
208,16,adrian_pilot,3,TrialSpatialSpan,1,1,2817.595807,2823.974721,2826.073418,11.892605,2.098697,1,0,3
209,17,adrian_pilot,3,TrialSpatialSpan,1,-1,2832.251467,2838.647988,-1,14.65566,3,0,0,3
210,18,adrian_pilot,3,TrialSpatialSpan,0,0,2841.806593,2848.19971,2850.53969,9.555126,2.33998,1,0,3
211,0,adrian_pilot,4,TrialDigitSpan,2,2,3391.960189,3398.330976,3399.208639,15.635391,0.877663,1,1,10
212,1,adrian_pilot,4,TrialDigitSpan,1,1,3403.480317,3409.873785,3411.628723,11.520128,1.754938,1,0,10
213,2,adrian_pilot,4,TrialDigitSpan,1,1,3416.744878,3423.140804,3424.716533,13.264561,1.575729,1,0,10
214,3,adrian_pilot,4,TrialDigitSpan,2,2,3430.007828,3436.409144,3438.558045,13.26295,2.148901,1,0,10
